Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards,Player-additional
1,Ralph Kiner,27,PIT,NL,5.2,150,672,547,112,149,21,6,47,118,2,3,122,79,0.272,0.408,0.59,0.998,156,0.425,156,323,22,3,0,19,*7,ASMVP-5,kinerra01
2,Al Rosen,26,CLE,AL,5.9,155,668,554,100,159,23,4,37,116,5,7,100,72,0.287,0.405,0.543,0.948,145,0.423,146,301,27,10,4,3,*5/H,MVP-17,rosenal01
3,Andy Pafko,29,CHC,NL,6.4,146,595,514,95,156,24,8,36,92,4,8,69,32,0.304,0.397,0.591,0.989,157,0.424,162,304,9,11,1,8,*89/H,ASMVP-12,pafkoan01
4,Walt Dropo,27,BOS,AL,2.6,136,609,559,101,180,28,8,34,144,0,0,45,75,0.322,0.378,0.583,0.961,134,0.426,132,326,16,5,0,3,*3/H,ASMVP-6ROY-1,dropowa01
5,Joe DiMaggio,35,NYY,AL,5.2,139,606,525,114,158,33,10,32,122,0,0,80,33,0.301,0.394,0.585,0.979,151,0.436,151,307,14,1,0,5,*8/3H,ASMVP-9,dimagjo01
6,Gil Hodges,26,BRO,NL,3.4,153,646,561,98,159,26,2,32,113,6,4,73,73,0.283,0.367,0.508,0.875,125,0.381,125,285,14,1,11,12,*3,ASMVP-8,hodgegi01
7,Hank Sauer,33,CHC,NL,2.5,145,603,540,85,148,32,2,32,103,1,2,60,67,0.274,0.35,0.519,0.868,126,0.379,128,280,15,3,0,3,*73/H,ASMVP-29,sauerha01
8,Roy Campanella,28,BRO,NL,4.8,126,494,437,70,123,19,3,31,89,1,1,55,51,0.281,0.364,0.551,0.916,134,0.391,132,241,17,2,0,15,*2/H,ASMVP-13,camparo01
9,Del Ennis,25,PHI,NL,4.7,153,655,595,92,185,34,8,31,126,2,1,56,59,0.311,0.372,0.551,0.923,141,0.398,141,328,25,2,1,16,*97/H8,MVP-4,ennisde01
10,Duke Snider*,23,BRO,NL,5.6,152,684,620,109,199,31,10,31,107,16,15,58,79,0.321,0.379,0.553,0.932,139,0.401,142,343,9,0,6,5,*8/H,ASMVP-9,snidedu01
11,Vern Stephens,29,BOS,AL,3.7,149,693,628,125,185,34,6,30,144,1,0,65,43,0.295,0.361,0.511,0.872,113,0.395,111,321,21,0,0,2,*6/H,ASMVP-24,stephve01
12,Gus Zernial,27,CHW,AL,1.3,143,584,543,75,152,16,4,29,93,0,2,38,110,0.28,0.33,0.484,0.815,109,0.359,101,263,16,3,0,5,*7/H,,zernigu01
13,Yogi Berra*,25,NYY,AL,6.1,151,656,597,116,192,30,6,28,124,4,2,55,12,0.322,0.383,0.533,0.915,135,0.416,138,318,11,4,0,3,*2/H,ASMVP-3,berrayo01
14,Luke Easter*,34,CLE,AL,3.1,141,623,540,96,151,20,4,28,107,0,3,70,95,0.28,0.373,0.487,0.86,122,0.387,121,263,15,10,3,2,*39/H,,eastelu01
15,Stan Musial*,29,STL,NL,7.2,146,645,555,105,192,41,7,28,109,5,1,87,36,0.346,0.437,0.596,1.034,165,0.452,171,331,11,3,0,13,3789/H,ASMVP-2,musiast01
16,Ted Williams*,31,BOS,AL,3.9,89,416,334,82,106,24,1,28,97,3,0,82,21,0.317,0.452,0.647,1.099,168,0.489,172,216,12,0,0,2,7/H,ASMVP-21,willite01
17,Bobby Doerr,32,BOS,AL,3.6,149,663,586,103,172,29,11,27,120,3,4,67,42,0.294,0.367,0.519,0.886,116,0.397,114,304,21,1,9,4,*4,ASMVP-16,doerrbo01
18,Sid Gordon,32,BSN,NL,6.3,134,562,481,78,146,33,4,27,103,2,0,78,31,0.304,0.403,0.557,0.96,156,0.421,160,268,14,2,1,9,*75/H,MVP-22,gordosi01
19,Vic Wertz*,25,DET,AL,4.3,149,657,559,99,172,37,4,27,123,0,1,91,55,0.308,0.408,0.533,0.941,136,0.424,138,298,13,4,3,8,*9/H,MVP-10,wertzvi01
20,Larry Doby*,26,CLE,AL,6.7,142,609,503,110,164,25,5,25,102,8,6,98,71,0.326,0.442,0.545,0.986,156,0.446,160,274,9,6,2,3,*8/H,ASMVP-8,dobyla01
21,Willie Jones,24,PHI,NL,3.8,157,678,610,100,163,28,6,25,88,5,1,61,40,0.267,0.337,0.456,0.793,108,0.356,111,278,15,3,4,2,*5,ASMVP-36,joneswi01
22,Ted Kluszewski*,25,CIN,NL,2.6,134,572,538,76,165,37,0,25,111,3,1,33,28,0.307,0.348,0.515,0.863,124,0.376,123,277,20,1,0,13,*3/H,MVP-18,kluszte01
23,Johnny Mize*,37,NYY,AL,2.1,90,305,274,43,76,12,0,25,72,0,1,29,24,0.277,0.351,0.595,0.946,142,0.415,138,163,4,2,0,1,3H,MVP-17,mizejo01
24,Bobby Thomson,26,NYG,NL,3,149,627,563,79,142,22,7,25,85,3,5,55,45,0.252,0.324,0.449,0.774,100,0.342,101,253,14,5,2,4,*8/H,,thomsbo01
25,Bob Elliott,33,BSN,NL,4.6,142,602,531,94,162,28,5,24,107,2,2,68,67,0.305,0.386,0.512,0.898,140,0.395,143,272,18,2,1,6,*5/H,MVP-24,elliobo01
26,Andy Seminick,29,PHI,NL,4.3,130,468,393,55,113,15,3,24,68,0,0,68,50,0.288,0.4,0.524,0.925,143,0.403,145,206,12,6,0,12,*2/H,MVP-14,seminan01
27,Wally Westlake,29,PIT,NL,2.8,139,534,477,69,136,15,6,24,95,1,7,48,78,0.285,0.359,0.493,0.852,119,0.367,119,235,15,7,2,5,*89H/7,,westlwa01
28,Sam Chapman,34,PHA,AL,1.5,144,627,553,93,139,20,6,23,95,3,3,68,79,0.251,0.338,0.434,0.772,98,0.352,96,240,14,4,2,1,*8/H,,chapmsa01
29,Earl Torgeson*,26,BSN,NL,5.9,156,707,576,120,167,30,3,23,87,15,9,119,69,0.29,0.412,0.472,0.885,138,0.395,144,272,10,1,8,9,*3/H,MVP-27,torgeea01
30,Wes Westrum,27,NYG,NL,4.3,140,532,437,68,103,13,3,23,71,2,2,92,73,0.236,0.371,0.437,0.808,111,0.364,115,191,14,2,1,2,*2/H,MVP-32,westrwe01
31,Don Lenhardt,27,SLB,AL,1.7,139,579,480,75,131,22,6,22,81,3,2,90,94,0.273,0.39,0.481,0.871,118,0.397,118,231,7,2,7,1,37H5,,lenhado01
32,Hoot Evers,29,DET,AL,4.7,143,610,526,100,170,35,11,21,103,5,9,71,40,0.323,0.408,0.551,0.959,141,0.428,144,290,17,4,9,1,*7/H8,ASMVP-11,eversho01
33,Roy Smalley,24,CHC,NL,1.3,154,617,557,58,128,21,9,21,85,2,3,49,114,0.23,0.297,0.413,0.71,85,0.31,80,230,11,4,6,4,*6,,smallro01
34,Eddie Robinson*,29,2TM,AL,2.5,155,647,553,83,163,15,4,21,86,0,0,85,32,0.295,0.395,0.45,0.846,119,0.395,125,249,10,7,2,3,*3,,robined01
34,Eddie Robinson*,29,WSH,AL,0.1,36,156,129,21,30,4,2,1,13,0,0,25,4,0.233,0.365,0.318,0.683,80,0.341,90,41,3,2,0,0,3,,robined01
34,Eddie Robinson*,29,CHW,AL,2.3,119,491,424,62,133,11,2,20,73,0,0,60,28,0.314,0.405,0.491,0.895,131,0.413,136,208,7,5,2,3,*3,,robined01
35,Hank Thompson*,24,NYG,NL,5.1,148,604,512,82,148,17,6,20,91,8,7,83,60,0.289,0.391,0.463,0.854,123,0.382,128,237,10,3,6,3,*59/H8,MVP-33,thompha02
36,Joe Gordon,35,CLE,AL,2,119,429,368,59,87,12,1,19,57,4,1,56,44,0.236,0.34,0.429,0.77,99,0.355,98,158,10,2,3,3,*4H,,gordojo01
37,Carl Furillo,28,BRO,NL,2.2,153,669,620,99,189,30,6,18,106,8,3,41,40,0.305,0.353,0.46,0.813,109,0.364,111,285,19,5,3,5,*9,MVP-30,furilca01
38,Sam Jethroe#,33,BSN,NL,3.2,141,642,582,100,159,28,8,18,58,35,9,52,93,0.273,0.338,0.442,0.78,109,0.354,109,257,8,5,3,1,*8,MVP-27ROY-1,jethrsa01
39,Eddie Joost,34,PHA,AL,1.8,131,592,476,79,111,12,3,18,58,5,1,103,68,0.233,0.373,0.384,0.757,96,0.362,100,183,11,3,10,1,*6,,joosted01
40,Dick Kokos*,22,SLB,AL,1.7,143,582,490,77,128,27,5,18,67,8,8,88,73,0.261,0.375,0.447,0.822,106,0.374,106,219,10,1,3,3,*79H,,kokosdi01
41,Bill Serena,25,CHC,NL,1.8,127,503,435,56,104,20,4,17,61,1,2,65,75,0.239,0.339,0.421,0.76,99,0.339,100,183,10,1,2,2,*5/H,ROY-5,serenbi01
42,Al Dark,28,NYG,NL,5.1,154,643,587,79,164,36,5,16,67,9,3,39,60,0.279,0.331,0.44,0.77,100,0.344,99,258,10,6,11,4,*6,,darkal01
43,Monte Irvin,31,NYG,NL,3.7,110,432,374,61,112,19,5,15,66,3,1,52,41,0.299,0.392,0.497,0.889,131,0.398,136,186,7,5,1,3,397/H5,,irvinmo01
