Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Omar Moreno*,27,PIT,NL,1.5,162,745,676,87,168,20,13,2,36,96,33,57,101,0.249,0.306,0.325,0.631,75,0.305,67,220,9,2,3,7,11,*8,,morenom01
2,Willie Wilson#,24,KCR,AL,8.5,161,745,705,133,230,28,15,3,49,79,10,28,81,0.326,0.357,0.421,0.778,113,0.391,122,297,4,6,5,1,3,*78/H,MVP-4GGSS,wilsowi02
3,Pete Rose#,39,PHI,NL,-0.4,162,739,655,95,185,42,1,1,64,12,8,66,33,0.282,0.352,0.354,0.706,94,0.334,96,232,13,6,4,4,5,*3/H,AS,rosepe01
4,Al Bumbry*,33,BAL,AL,6.1,160,738,645,118,205,29,9,9,53,44,11,78,75,0.318,0.392,0.433,0.825,128,0.392,133,279,9,3,9,3,8,*8/H,ASMVP-13,bumbral01
5,Rickey Henderson,21,OAK,AL,8.8,158,722,591,111,179,22,4,9,53,100,26,117,54,0.303,0.42,0.399,0.82,135,0.415,151,236,6,5,6,3,7,*7/D,ASMVP-10,henderi01
6,Mike Hargrove*,30,CLE,AL,3.3,160,720,589,86,179,22,2,11,85,4,2,111,36,0.304,0.415,0.404,0.819,126,0.387,133,238,22,8,2,10,10,*3,,hargrmi01
7,Rick Burleson,29,BOS,AL,2.4,155,718,644,89,179,29,2,8,51,12,13,62,51,0.278,0.341,0.366,0.708,90,0.332,92,236,24,2,6,4,0,*6,,burleri01
8,Gene Richards*,26,SDP,NL,4.6,158,712,642,91,193,26,8,4,41,61,16,61,73,0.301,0.363,0.385,0.748,115,0.365,121,247,9,2,7,0,7,*7/H9,MVP-22,richage01
9,Ozzie Smith#,25,SDP,NL,5.1,158,712,609,67,140,18,5,0,35,57,15,71,49,0.23,0.313,0.276,0.589,71,0.306,77,168,9,5,23,4,1,*6,GG,smithoz01
10,Al Oliver*,33,TEX,AL,3.5,163,709,656,96,209,43,3,19,117,5,7,39,47,0.319,0.357,0.48,0.838,132,0.372,130,315,14,5,1,8,9,*79/DH3,ASMVP-11SS,oliveal01
11,Steve Garvey,31,LAD,NL,3,163,704,658,78,200,27,1,26,106,6,11,36,67,0.304,0.341,0.467,0.808,125,0.369,131,307,17,3,3,4,6,*3/H,ASMVP-6,garvest01
12,Dwayne Murphy*,25,OAK,AL,6.9,159,702,573,86,157,18,2,13,68,26,15,102,96,0.274,0.384,0.38,0.764,119,0.362,127,218,12,2,22,3,7,*8/H,GG,murphdw01
13,Gorman Thomas,29,MIL,AL,3,162,697,628,78,150,26,3,38,105,8,5,58,170,0.239,0.303,0.471,0.774,112,0.347,109,296,7,2,3,6,4,*8/D,,thomago01
14,Alfredo Griffin#,22,TOR,AL,-0.1,155,696,653,63,166,26,15,2,41,18,23,24,58,0.254,0.283,0.349,0.632,69,0.287,65,228,7,4,10,5,2,*6/H,,griffal01
15,Iván de Jesús,27,CHC,NL,1.9,157,692,618,78,160,26,3,3,33,44,16,60,81,0.259,0.327,0.325,0.653,78,0.32,79,201,4,4,8,2,2,*6/H,,dejesiv01
16,Keith Hernandez*,26,STL,NL,6.6,159,690,595,111,191,39,8,16,99,14,8,86,73,0.321,0.408,0.494,0.902,147,0.41,153,294,14,4,1,4,4,*3/H,ASMVP-11GGSS,hernake01
17,Eddie Murray#,24,BAL,AL,4.5,158,683,621,100,186,36,2,32,116,7,2,54,71,0.3,0.354,0.519,0.873,138,0.393,139,322,18,2,0,6,10,*3/HD,MVP-6,murraed02
18,José Cruz*,32,HOU,NL,4.8,160,680,612,79,185,29,7,11,91,36,11,60,66,0.302,0.36,0.426,0.787,128,0.366,128,261,11,0,0,8,13,*7/H,ASMVP-3,cruzjo01
19,Ken Singleton#,33,BAL,AL,4,156,680,583,85,177,28,3,24,104,0,2,92,94,0.304,0.397,0.485,0.882,142,0.411,152,283,19,1,0,4,1,*9/D7,MVP-21,singlke01
20,Cecil Cooper*,30,MIL,AL,6.8,153,678,622,96,219,33,4,25,122,17,6,39,42,0.352,0.387,0.539,0.926,155,0.42,161,335,16,2,7,8,15,*3D/H,ASMVP-5GGSS,coopece01
21,Toby Harrah,31,CLE,AL,4.4,160,675,561,100,150,22,4,11,72,17,2,98,60,0.267,0.379,0.38,0.759,109,0.366,115,213,16,7,2,7,3,*5/6DH,,harrato01
22,Carney Lansford,23,CAL,AL,0.7,151,670,602,87,157,27,3,15,80,14,5,50,93,0.261,0.312,0.39,0.703,94,0.328,94,235,12,0,7,11,2,*5/H,,lansfca01
23,Dave Concepción,32,CIN,NL,1.7,156,669,622,72,162,31,8,5,77,12,2,37,107,0.26,0.3,0.36,0.66,83,0.317,84,224,20,1,2,6,2,*6/H4,AS,conceda01
24,Lee Mazzilli#,25,NYM,NL,3.3,152,668,578,82,162,31,4,16,76,41,15,82,92,0.28,0.37,0.431,0.801,127,0.375,130,249,8,3,0,5,11,38/H,,mazzile01
25,Ray Knight,27,CIN,NL,2.3,162,667,618,71,163,39,7,14,78,1,2,36,62,0.264,0.307,0.417,0.724,100,0.335,100,258,24,4,5,4,9,*5/H,AS,knighra01
26,Tony Armas,26,OAK,AL,5.9,158,666,628,87,175,18,8,35,109,5,3,29,128,0.279,0.31,0.5,0.81,127,0.369,130,314,22,2,2,5,4,*98,MVP-12,armasto01
27,Jim Morrison,27,CHW,AL,2.1,162,666,604,66,171,40,0,15,57,9,6,36,74,0.283,0.329,0.424,0.753,106,0.348,108,256,19,8,12,6,2,*4/6D,,morriji01
28,Chris Chambliss*,31,ATL,NL,2.8,158,663,602,83,170,37,2,18,72,7,3,49,73,0.282,0.338,0.44,0.779,114,0.36,116,265,11,4,2,4,6,*3,,chambch01
