Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Darin Erstad*,26,ANA,AL,8.4,157,747,676,121,240,39,6,25,100,28,8,64,82,0.355,0.409,0.541,0.951,137,0.415,137,366,8,1,2,4,9,*78D/3H,ASMVP-8GGSS,erstada01
2,Johnny Damon*,26,KCR,AL,6.1,159,741,655,136,214,42,10,16,88,46,9,65,60,0.327,0.382,0.495,0.877,118,0.405,125,324,7,1,8,12,4,*87D/H,MVP-19,damonjo01
3,Andruw Jones,23,ATL,NL,8.2,161,729,656,122,199,36,6,36,104,21,6,59,100,0.303,0.366,0.541,0.907,126,0.409,134,355,12,9,0,5,0,*8,ASMVP-8GG,jonesan01
4,Luis Gonzalez*,32,ARI,NL,4.2,162,722,618,106,192,47,2,31,114,2,4,78,85,0.311,0.392,0.544,0.935,130,0.403,130,336,12,12,2,12,6,*7,,gonzalu01
5,Jeff Bagwell,32,HOU,NL,5.4,159,719,590,152,183,37,1,47,132,9,6,107,116,0.31,0.424,0.615,1.039,152,0.444,155,363,19,15,0,7,11,*3/D,MVP-7,bagweje01
6,Mike Sweeney,26,KCR,AL,3.9,159,717,618,105,206,30,0,29,144,8,3,71,67,0.333,0.407,0.523,0.93,131,0.412,135,323,15,15,0,13,5,*3D,ASMVP-11,sweenmi01
7,Omar Vizquel#,33,CLE,AL,2.8,156,717,613,101,176,27,3,7,66,22,10,87,72,0.287,0.377,0.375,0.753,92,0.355,98,230,13,5,7,5,0,*6/H,GG,vizquom01
8,Shawn Green*,27,LAD,NL,3.1,162,714,610,98,164,44,4,24,99,24,5,90,121,0.269,0.367,0.472,0.839,116,0.376,117,288,18,8,0,6,9,*9/8H,,greensh01
9,Mo Vaughn*,32,ANA,AL,1.8,161,712,614,93,167,31,0,36,117,2,0,79,181,0.272,0.365,0.498,0.864,115,0.376,111,306,14,14,0,5,11,*3D/H,,vaughmo01
10,Carlos Delgado*,28,TOR,AL,7.3,162,711,569,115,196,57,1,41,137,0,1,123,104,0.344,0.47,0.664,1.134,181,0.477,182,378,12,15,0,4,18,*3,ASMVP-4SS,delgaca01
11,Ray Durham#,28,CHW,AL,3.1,151,709,614,121,172,35,9,17,75,25,13,75,105,0.28,0.361,0.45,0.81,103,0.366,106,276,13,7,5,8,0,*4/H,AS,durhara01
12,Frank Thomas,32,CHW,AL,6,159,707,582,115,191,44,0,43,143,1,3,112,94,0.328,0.436,0.625,1.061,163,0.45,165,364,13,5,0,8,18,*D3/H,MVP-2SS,thomafr04
13,Sammy Sosa,31,CHC,NL,5.7,156,705,604,106,193,38,1,50,138,7,4,91,168,0.32,0.406,0.634,1.04,161,0.443,165,383,12,2,0,8,19,*9/8,ASMVP-9SS,sosasa01
14,Neifi Pérez#,27,COL,NL,1.1,162,699,651,92,187,39,11,10,71,3,6,30,63,0.287,0.314,0.427,0.741,69,0.332,64,278,9,0,7,11,6,*6/H,GG,perezne01
15,Roberto Alomar#,32,CLE,AL,5.6,155,697,610,111,189,40,2,19,89,39,4,64,82,0.31,0.378,0.475,0.853,114,0.394,118,290,19,6,11,6,4,*4/H,ASGGSS,alomaro01
16,Todd Helton*,26,COL,NL,8.9,160,697,580,138,216,59,2,42,147,5,3,103,61,0.372,0.463,0.698,1.162,163,0.489,175,405,12,4,0,10,22,*3/H,ASMVP-5SS,heltoto01
